"GCNumber","Reason","Type","StartTime","EndTime","DurationMs"
"1","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.341","2025-04-28 23:50:02.343","2"
"2","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.353","2025-04-28 23:50:02.357","4"
"3","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.372","2025-04-28 23:50:02.375","3"
"4","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.411","2025-04-28 23:50:02.422","11"
"5","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.492","2025-04-28 23:50:02.504","12"
"6","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.591","2025-04-28 23:50:02.605","14"
"7","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:02.689","2025-04-28 23:50:02.736","47"
"8","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.691","2025-04-28 23:50:02.709","18"
"9","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.796","2025-04-28 23:50:02.830","34"
"10","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:02.905","2025-04-28 23:50:02.926","21"
"11","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.004","2025-04-28 23:50:03.030","26"
"12","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.109","2025-04-28 23:50:03.163","54"
"13","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.243","2025-04-28 23:50:03.270","27"
"14","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.342","2025-04-28 23:50:03.373","31"
"15","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:03.436","2025-04-28 23:50:03.537","101"
"16","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.437","2025-04-28 23:50:03.457","20"
"17","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.563","2025-04-28 23:50:03.584","21"
"18","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.722","2025-04-28 23:50:03.806","84"
"19","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:03.941","2025-04-28 23:50:03.989","48"
"20","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:04.119","2025-04-28 23:50:04.153","34"
"21","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:04.286","2025-04-28 23:50:04.321","35"
"22","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:04.452","2025-04-28 23:50:04.490","38"
"23","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:04.612","2025-04-28 23:50:04.652","40"
"24","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:04.804","2025-04-28 23:50:04.843","39"
"25","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:04.943","2025-04-28 23:50:04.982","39"
"26","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:05.070","2025-04-28 23:50:05.404","334"
"27","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:05.070","2025-04-28 23:50:05.157","87"
"28","0 - SOH allocation","2 - Background (blocking)","2025-04-28 23:50:05.268","2025-04-28 23:50:05.310","42"
"29","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:05.434","2025-04-28 23:50:05.471","37"
"30","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:05.678","2025-04-28 23:50:05.756","78"
"31","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:05.967","2025-04-28 23:50:06.054","87"
"32","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:06.287","2025-04-28 23:50:06.437","150"
"33","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:06.647","2025-04-28 23:50:06.742","95"
